Vg_x_V,Vg_y_V,charge_total,occ_dot1,occ_dot2,sensor
0.0,0.0,0,1.6011657559192573e-101,1.6011657559192573e-101,3.2023315118385145e-101
0.0012244897959183673,0.0,0,4.072158252624257e-94,2.7457923178091077e-100,4.0721609984165747e-94
0.0024489795918367346,0.0,0,1.0356499802167923e-86,4.708678926381152e-99,1.0356499802172633e-86
0.003673469387755102,0.0,0,2.633912571624164e-79,8.074775753409868e-98,2.633912571624164e-79
0.004897959183673469,0.0,0,6.698687362990912e-72,1.3847196737614581e-96,6.698687362990912e-72
0.006122448979591836,0.0,0,1.703640920754792e-64,2.3746152629591874e-95,1.703640920754792e-64
0.007346938775510204,0.0,0,4.332777795998316e-57,4.072158252624257e-94,4.332777795998316e-57
0.00857142857142857,0.0,0,1.1019319388723649e-49,6.9832250693742705e-93,1.1019319388723649e-49
0.009795918367346938,0.0,0,2.8024838915775746e-42,1.197532839940858e-91,2.8024838915775746e-42
0.011020408163265306,0.0,0,7.127405682231971e-35,2.053614037196308e-90,7.127405682231971e-35
0.012244897959183673,0.0,0,1.8126745317531975e-27,3.521682640434411e-89,1.8126745317531975e-27
0.01346938775510204,0.0,0,4.610077080722062e-20,6.039230544444893e-88,4.610077080722062e-20
0.014693877551020407,0.0,0,1.172455965915679e-12,1.0356499802155781e-86,1.172455965915679e-12
0.015918367346938776,0.0,0,2.9817549233167243e-05,1.7759529002821007e-85,2.9817549233167243e-05
0.01714285714285714,0.0,1,0.9986830949904464,4.0107928828153687e-87,0.9986830949904464
0.01836734693877551,0.0,1,0.9999999999481513,2.7079807665702744e-93,0.9999999999481513
0.019591836734693877,0.0,1,1.0,1.8259488764263188e-99,1.0
0.020816326530612245,0.0,1,1.0,1.2312086334986356e-105,1.0
0.022040816326530613,0.0,1,1.0,8.301846463970387e-112,1.0
0.023265306122448978,0.0,1,1.0,7.768541805826175e-118,1.0
0.024489795918367346,0.0,1,1.0,3.722534240727721e-117,1.0
0.025714285714285714,0.0,1,1.0,6.383664431232745e-116,1.0
0.02693877551020408,0.0,1,1.0,1.0947159399300786e-114,1.0
0.028163265306122447,0.0,1,1.0,1.877296342949709e-113,1.0
0.029387755102040815,0.0,1,1.0,3.2193205841844684e-112,1.0
0.030612244897959183,0.0,1,1.0,5.520718698823116e-111,1.0
0.03183673469387755,0.0,1,1.0,9.467319005528209e-110,1.0
0.03306122448979592,0.0,1,1.0,1.6235228426243205e-108,1.0
0.03428571428571428,0.0,1,1.0,2.784131831814004e-107,1.0
0.03551020408163265,0.0,1,1.0,4.774426237447353e-106,1.0
0.03673469387755102,0.0,1,1.0,8.187523893929307e-105,1.0
0.037959183673469385,0.0,1,1.0,1.404054522570276e-103,1.0
0.03918367346938775,0.0,1,1.0,2.4077720296017235e-102,1.0
0.04040816326530612,0.0,1,1.0,4.1290178218436866e-101,1.0
0.04163265306122449,0.0,1,1.0,7.080731881383036e-100,1.0
0.04285714285714286,0.0,1,1.0,1.2142539979070783e-98,1.0
0.044081632653061226,0.0,1,1.0,2.0822886618681138e-97,1.0
0.04530612244897959,0.0,1,1.0,3.570855915499056e-96,1.0
0.046530612244897955,0.0,1,1.0,6.123556355445677e-95,1.0
0.04775510204081632,0.0,1,1.0000000000000266,1.0501107668768034e-93,1.0000000000000266
0.04897959183673469,0.0,1,1.0000006742838308,1.80080302221007e-92,1.0000006742838308
0.05020408163265306,0.0,2,1.9448996573996054,1.701579306078027e-92,1.9448996573996054
0.05142857142857143,0.0,2,1.9999999977071257,1.2142539951230846e-98,1.9999999977071257
0.052653061224489796,0.0,2,2.0,8.187523893929307e-105,2.0
0.05387755102040816,0.0,2,2.0,5.520718698824214e-111,2.0
0.055102040816326525,0.0,2,2.0,3.722533864560699e-117,2.0
0.05632653061224489,0.0,2,2.0,2.532056559216095e-123,2.0
0.05755102040816326,0.0,2,2.0,3.774528549972718e-124,2.0
0.05877551020408163,0.0,2,2.0,6.47279957458662e-123,2.0
0.06,0.0,2,2.0,1.110001464927039e-121,2.0
0.0,0.0012244897959183673,0,2.7457923178091077e-100,4.072158252624257e-94,4.0721609984165747e-94
0.0012244897959183673,0.0012244897959183673,0,6.9832250693742705e-93,6.9832250693742705e-93,1.3966450138748541e-92
0.0024489795918367346,0.0012244897959183673,0,1.7760058564241627e-85,1.197532839940858e-91,1.7760070539570026e-85
0.003673469387755102,0.0012244897959183673,0,4.51681962233482e-78,2.053614037196308e-90,4.5168196223368735e-78
0.004897959183673469,0.0012244897959183673,0,1.1487383009978286e-70,3.521682640434411e-89,1.1487383009978286e-70
0.006122448979591836,0.0012244897959183673,0,2.9215239804002115e-63,6.039230544444893e-88,2.9215239804002115e-63
0.007346938775510204,0.0012244897959183673,0,7.430153900709989e-56,1.0356499802167923e-86,7.430153900709989e-56
0.00857142857142857,0.0012244897959183673,0,1.889670848454581e-48,1.7760058564241627e-85,1.889670848454581e-48
0.009795918367346938,0.0012244897959183673,0,4.805897647904634e-41,3.0456204917735196e-84,4.805897647904634e-41
0.011020408163265306,0.0012244897959183673,0,1.2222579514852704e-33,5.22284549139188e-83,1.2222579514852704e-33
0.012244897959183673,0.0012244897959183673,0,3.108502530469651e-26,8.956504955438071e-82,3.108502530469651e-26
0.01346938775510204,0.0012244897959183673,0,7.905686332573141e-19,1.5359248353986095e-80,7.905686332573141e-19
0.014693877551020407,0.0012244897959183673,0,2.0106104394367613e-11,2.6339125715712062e-79,2.0106104394367613e-11
0.015918367346938776,0.0012244897959183673,0,0.0005110863339479946,4.514511137552936e-78,0.0005110863339479946
0.01714285714285714,0.0012244897959183673,1,0.9999231113978653,5.955608007417963e-81,0.9999231113978653
0.01836734693877551,0.0012244897959183673,1,0.9999999999969764,4.016081680887579e-87,0.9999999999969764
0.019591836734693877,0.0012244897959183673,1,1.0,2.7079807667106798e-93,1.0
0.020816326530612245,0.0012244897959183673,1,1.0,1.8259488764263375e-99,1.0
0.022040816326530613,0.0012244897959183673,1,1.0,1.2312089554306932e-105,1.0
0.023265306122448978,0.0012244897959183673,1,1.0,6.350903332561997e-111,1.0
0.024489795918367346,0.0012244897959183673,1,1.0,9.467319061506254e-110,1.0
0.025714285714285714,0.0012244897959183673,1,1.0,1.6235228426243209e-108,1.0
0.02693877551020408,0.0012244897959183673,1,1.0,2.784131831814163e-107,1.0
0.028163265306122447,0.0012244897959183673,1,1.0,4.774426237447353e-106,1.0
