Noise_Type,RMS_amplitude_uV,Theoretical_metric
Johnson,0.005205457630602521,0.005254805419803859
RTN,24.505368536708588,50.0
Pink_1f,100.0,100.0
OU_Drift,0.28000396520184706,0.7905694150420948
