Detuning_meV,Cq_fF,PhaseShift_deg,I_mV,Q_mV
-0.3,3.788495316136235e-05,-6.26614122770808e-07,0.9963980595091644,-1.0897087033213525e-08
-0.29698492462311554,3.903877965329213e-05,-6.456983205453254e-07,0.9963980595091646,-1.1228969377627333e-08
-0.2939698492462311,4.02398153272794e-05,-6.655633544903838e-07,0.9963980595091644,-1.1574430796306877e-08
-0.2909547738693467,4.149049295775129e-05,-6.862494637232383e-07,0.9963980595091644,-1.1934171064675241e-08
-0.2879396984924623,4.279339685794691e-05,-7.077993920562419e-07,0.9963980595091646,-1.2308933515872256e-08
-0.2849246231155778,4.4151274008107875e-05,-7.302585743578521e-07,0.9963980595091646,-1.2699508281651951e-08
-0.2819095477386934,4.556704612820771e-05,-7.536753278836111e-07,0.9963980595091644,-1.3106735619709947e-08
-0.27889447236180903,4.704382264093675e-05,-7.781010982729536e-07,0.9963980595091644,-1.3531510191672969e-08
-0.27587939698492464,4.85849150243536e-05,-8.035906409408726e-07,0.9963980595091644,-1.3974784217577295e-08
-0.27286432160804014,5.019385208736213e-05,-8.302023341645593e-07,0.9963980595091644,-1.4437572920579062e-08
-0.26984924623115575,5.187439678685004e-05,-8.579984101716123e-07,0.9963980595091644,-1.4920958545676857e-08
-0.26683417085427136,5.363056449963476e-05,-8.870452831357078e-07,0.9963980595091644,-1.5426096063696414e-08
-0.2638190954773869,5.5466642977208864e-05,-9.174138771723266e-07,0.9963980595091644,-1.595421887527627e-08
-0.26080402010050246,5.738721400499852e-05,-9.491799692433094e-07,0.9963980595091644,-1.6506644774124364e-08
-0.2577889447236181,5.939717712440849e-05,-9.824245991520184e-07,0.9963980595091644,-1.708478307700886e-08
-0.25477386934673363,6.150177553707821e-05,-1.0172344919614347e-06,0.9963980595091644,-1.7690141969789177e-08
-0.25175879396984924,6.370662457133575e-05,-1.0537025176857525e-06,0.9963980595091646,-1.8324336501648964e-08
-0.24874371859296482,6.601774256971176e-05,-1.0919282255258265e-06,0.9963980595091646,-1.898909787567857e-08
-0.2457286432160804,6.844158494663076e-05,-1.1320183880438207e-06,0.9963980595091646,-1.9686282912304448e-08
-0.24271356783919595,7.09850816768418e-05,-1.174087622367349e-06,0.9963980595091646,-2.0417884852294263e-08
-0.23969849246231154,7.365567810059312e-05,-1.2182590759988138e-06,0.9963980595091646,-2.1186045283274026e-08
-0.23668341708542712,7.64613801637974e-05,-1.2646651648059523e-06,0.9963980595091646,-2.1993066973698623e-08
-0.23366834170854267,7.94108039954775e-05,-1.3134484004657512e-06,0.9963980595091644,-2.284142826245468e-08
-0.23065326633165828,8.251323064217821e-05,-1.3647622924525983e-06,0.9963980595091642,-2.3733798744819497e-08
-0.22763819095477386,8.577866644247071e-05,-1.4187723419650054e-06,0.9963980595091642,-2.4673056557270914e-08
-0.22462311557788944,8.921790964410061e-05,-1.475657150153825e-06,0.9963980595091642,-2.566230765004903e-08
-0.221608040201005,9.284262419203304e-05,-1.535609640651782e-06,0.9963980595091642,-2.670490704746654e-08
-0.21859296482412058,9.666542137680034e-05,-1.5988384038591262e-06,0.9963980595091644,-2.780448222560994e-08
-0.21557788944723616,0.00010069995028226265,-1.6655691952882071e-06,0.9963980595091644,-2.896495916919119e-08
-0.2125628140703517,0.00010496099834645093,-1.736046590450849e-06,0.9963980595091644,-3.019059115074548e-08
-0.20954773869346732,0.00010946460303431508,-1.8105358559254566e-06,0.9963980595091642,-3.148599126928675e-08
-0.20653266331658288,0.00011422817609889857,-1.8893249744822339e-06,0.9963980595091639,-3.285616766809961e-08
-0.20351758793969846,0.00011927064223316289,-1.9727269659016755e-06,0.9963980595091639,-3.430656389476334e-08
-0.20050251256281404,0.00012461259369212264,-2.061082421487639e-06,0.9963980595091642,-3.584310297741603e-08
-0.19748743718592965,0.00013027646315435615,-2.1547623715449387e-06,0.9963980595091639,-3.747223729141373e-08
-0.19447236180904517,0.00013628671731994886,-2.254171498247875e-06,0.9963980595091639,-3.920100443248544e-08
-0.19145728643216078,0.00014267007379621107,-2.35975170880517e-06,0.9963980595091639,-4.103708935559636e-08
-0.18844221105527637,0.0001494557448321908,-2.471986170802757e-06,0.9963980595091638,-4.298889455128126e-08
-0.18542713567839195,0.00015667571131100774,-2.5914038420237835e-06,0.9963980595091636,-4.506561882114769e-08
-0.1824120603015075,0.00016436503148385491,-2.7185845866855536e-06,0.9963980595091638,-4.7277346251420004e-08
-0.1793969849246231,0.00017256218930407355,-2.854164930274727e-06,0.9963980595091634,-4.963514629197957e-08
-0.17638190954773866,0.0001813094882348135,-2.9988445598264246e-06,0.9963980595091634,-5.215118679899284e-08
-0.17336683417085424,0.00019065349721262282,-3.1533937261933794e-06,0.9963980595091634,-5.483886276353107e-08
-0.17035175879396983,0.00020064555646984487,-3.318661593028203e-06,0.9963980595091629,-5.771294150393526e-08
-0.1673366834170854,0.00021134235255807504,-3.4955857536313008e-06,0.9963980595091627,-6.078972816786332e-08
-0.164321608040201,0.00022280657309831642,-3.685203049840321e-06,0.9963980595091625,-6.408725387739491e-08
-0.16130653266331657,0.000235107653862546,-3.888661951386982e-06,0.9963980595091623,-6.762549101133022e-08
-0.15829145728643212,0.00024832263287590276,-4.107236659714079e-06,0.9963980595091623,-7.142659847658732e-08
-0.15527638190954773,0.00026253712897004344,-4.342343296555265e-06,0.996398059509162,-7.55152032345136e-08
-0.1522613065326633,0.00027784646526896544,-4.595558505270505e-06,0.9963980595091614,-7.991872378604852e-08
-0.1492462311557789,0.00029435696176903996,-4.868640805358932e-06,0.9963980595091612,-8.466774153581627e-08
-0.14623115577889445,0.0003121874260714052,-5.163555271654991e-06,0.9963980595091605,-8.979642997387963e-08
-0.14321608040201003,0.0003314708763081239,-5.482502012809845e-06,0.99639805950916,-9.534304992868633e-08
-0.1402010050251256,0.00035235653726813044,-5.827949184563183e-06,0.9963980595091594,-1.0135052368195574e-07
-0.1371859296482412,0.00037501215867614957,-6.202671367731741e-06,0.996398059509159,-1.0786710237827902e-07
-0.13417085427135675,0.00039962671406658487,-6.609794160726137e-06,0.9963980595091582,-1.149471415080188e-07
-0.13115577889447233,0.00042641355113080776,-7.0528463234231345e-06,0.9963980595091573,-1.2265200771150286e-07
-0.1281407035175879,0.00045561407812838047,-7.535820724743575e-06,0.9963980595091562,-1.3105113868341686e-07
-0.1251256281407035,0.00048750208944182527,-8.063245902880712e-06,0.9963980595091548,-1.4022328763571652e-07
-0.12211055276381907,0.0005223888547369669,-8.640270233486198e-06,0.9963980595091534,-1.502579870183054e-07
-0.11909547738693464,0.0005606291230939489,-9.272761242815701e-06,0.9963980595091518,-1.6125727561702334e-07
-0.11608040201005024,0.0006026282267934615,-9.967423084876906e-06,0.99639805950915,-1.7333774153138964e-07
-0.1130653266331658,0.0006488505102343162,-1.073193598933171e-05,0.9963980595091473,-1.8663294723313835e-07
-0.1100502512562814,0.0006998293603061945,-1.1575122125474088e-05,0.9963980595091445,-2.0129631401158403e-07
-0.10703517587939697,0.0007561791778092285,-1.2507143637133526e-05,0.9963980595091408,-2.1750456588511338e-07
-0.10402010050251254,0.0008186097078111102,-1.3539739654402778e-05,0.9963980595091368,-2.354618513362874e-07
-0.10100502512562813,0.000887943244974915,-1.4686510859787691e-05,0.9963980595091321,-2.554046920386393e-07
